tarea_id,orden_id,taller_id,tarifa_hora_base,catalogo_tarea_id,nombre_tarea,minutos_estimados_base,subgrupo_id,subgrupo_nombre,tipo_reparacion_id,tipo_reparacion_nombre,marca,modelo,anio,kilometraje,duracion_real_minutos,horas_reales,coste_mano_obra,coste_repuestos,coste_total
10001,2001,4,55.00,251,"Alineación y paralelismo",45,51,"Alineación y paralelismo",9,"Neumáticos / ruedas",Peugeot,2008,2020,255570,36,0.6,33,0,33
10002,2001,4,55.00,210,"Sustitución de filtro de aire",20,10,"Sustitución de filtro de aire",2,Motor,Peugeot,2008,2020,255570,17,0.2833,15.58,22.1,37.68
10003,2002,4,55.00,204,"Reparación de pinzas",75,4,"Reparación de pinzas",1,Frenos,Fiat,500,2020,56313,82,1.3667,75.17,191.09,266.26
10004,2002,4,55.00,241,"Reparación de tubos y soportes",90,41,"Reparación de tubos y soportes",7,Escape,Fiat,500,2020,56313,134,2.2333,122.83,60.38,183.21
10005,2003,4,55.00,225,"Alineación de ruedas / geometría",45,25,"Alineación de ruedas / geometría",4,"Suspensión / Dirección",Renault,Megane,2023,101574,53,0.8833,48.58,0,48.58
10006,2004,4,55.00,229,"Sustitución de luces",30,29,"Sustitución de luces",5,"Sistema eléctrico",Volkswagen,Passat,2008,135646,33,0.55,30.25,36.92,67.17
10007,2004,4,55.00,211,"Sustitución de filtro de combustible",32,11,"Sustitución de filtro de combustible",2,Motor,Volkswagen,Passat,2008,135646,30,0.5,27.5,56.52,84.02
10008,2005,4,55.00,213,"Limpieza de inyectores",90,13,"Limpieza de inyectores",2,Motor,Toyota,C-HR,2011,41522,137,2.2833,125.58,64.29,189.87
10009,2006,4,55.00,210,"Sustitución de filtro de aire",20,10,"Sustitución de filtro de aire",2,Motor,Seat,Ateca,2010,139782,15,0.25,13.75,17.62,31.37
10010,2007,4,55.00,214,"Diagnóstico electrónico del motor",60,14,"Diagnóstico electrónico del motor",2,Motor,Volkswagen,T-Roc,2014,154041,81,1.35,74.25,0,74.25
10011,2007,4,55.00,258,"Sustitución de termostato",45,58,"Sustitución de termostato",11,"Sistema de refrigeración",Volkswagen,T-Roc,2014,154041,60,1,55,44.04,99.04
10012,2007,4,55.00,207,"Cambio de aceite y filtro",32,7,"Cambio de aceite y filtro",2,Motor,Volkswagen,T-Roc,2014,154041,34,0.5667,31.17,50.87,82.04
10013,2007,4,55.00,204,"Reparación de pinzas",75,4,"Reparación de pinzas",1,Frenos,Volkswagen,T-Roc,2014,154041,58,0.9667,53.17,173.56,226.73
10014,2008,4,55.00,224,"Sustitución de rótulas",90,24,"Sustitución de rótulas",4,"Suspensión / Dirección",Peugeot,208,2015,56291,84,1.4,77,52.29,129.29
10015,2008,4,55.00,246,"Sustitución de lunas",90,46,"Sustitución de lunas",8,"Carrocería / pintura",Peugeot,208,2015,56291,80,1.3333,73.33,188.22,261.55
10016,2009,4,55.00,203,"Sustitución de líquido de frenos",35,3,"Sustitución de líquido de frenos",1,Frenos,Renault,Captur,2011,71117,24,0.4,22,17.39,39.39
10017,2010,4,55.00,235,"Sustitución de filtro de habitáculo",20,35,"Sustitución de filtro de habitáculo",6,"Aire acondicionado / climatización",Kia,Ceed,2024,271131,19,0.3167,17.42,16.61,34.03
10018,2011,4,55.00,232,"Reparación de centralitas y módulos",210,32,"Reparación de centralitas y módulos",5,"Sistema eléctrico",Ford,Focus,2022,173606,228,3.8,209,431.2,640.2
10019,2011,4,55.00,224,"Sustitución de rótulas",90,24,"Sustitución de rótulas",4,"Suspensión / Dirección",Ford,Focus,2022,173606,67,1.1167,61.42,66.86,128.28
10020,2011,4,55.00,217,"Cambio de aceite de caja de cambios manual",45,17,"Cambio de aceite de caja de cambios manual",3,"Transmisión / Embrague",Ford,Focus,2022,173606,38,0.6333,34.83,37.73,72.56
10021,2012,4,55.00,241,"Reparación de tubos y soportes",90,41,"Reparación de tubos y soportes",7,Escape,Hyundai,i30,2015,100669,127,2.1167,116.42,52.36,168.78
10022,2012,4,55.00,209,"Cambio de bujías",45,9,"Cambio de bujías",2,Motor,Hyundai,i30,2015,100669,56,0.9333,51.33,44.04,95.37
10023,2012,4,55.00,262,"Revisión 10.000 / 20.000 km",75,62,"Revisión 10.000 / 20.000 km",12,"Mantenimiento general / Otros",Hyundai,i30,2015,100669,97,1.6167,88.92,75.7,164.62
10024,2013,4,55.00,213,"Limpieza de inyectores",90,13,"Limpieza de inyectores",2,Motor,Nissan,Micra,2011,46778,122,2.0333,111.83,53.27,165.1
10025,2013,4,55.00,251,"Alineación y paralelismo",45,51,"Alineación y paralelismo",9,"Neumáticos / ruedas",Nissan,Micra,2011,46778,63,1.05,57.75,0,57.75
10026,2014,4,55.00,252,"Sustitución de bomba de combustible",135,52,"Sustitución de bomba de combustible",10,"Sistema de combustible",Seat,Ibiza,2012,98876,118,1.9667,108.17,194.55,302.72
10027,2015,4,55.00,207,"Cambio de aceite y filtro",32,7,"Cambio de aceite y filtro",2,Motor,Seat,Ateca,2010,139782,32,0.5333,29.33,56.16,85.49
10028,2015,4,55.00,239,"Sustitución de catalizador",120,39,"Sustitución de catalizador",7,Escape,Seat,Ateca,2010,139782,123,2.05,112.75,388.94,501.69
10029,2016,4,55.00,243,"Sustitución de puertas, paragolpes, capó",270,43,"Sustitución de puertas, paragolpes, capó",8,"Carrocería / pintura",Seat,Ibiza,2012,98876,278,4.6333,254.83,394.82,649.65
10030,2016,4,55.00,260,"Reparación manguitos y abrazaderas",90,60,"Reparación manguitos y abrazaderas",11,"Sistema de refrigeración",Seat,Ibiza,2012,98876,70,1.1667,64.17,73.7,137.87
10031,2017,4,55.00,242,"Reparacion de abolladuras",210,42,"Reparación de abolladuras",8,"Carrocería / pintura",Seat,Ateca,2010,139782,318,5.3,291.5,61.66,353.16
10032,2017,4,55.00,215,"Cambio de embrague",300,15,"Cambio de embrague",3,"Transmisión / Embrague",Seat,Ateca,2010,139782,263,4.3833,241.08,268.65,509.73
10033,2017,4,55.00,234,"Sustitución de compresor",240,34,"Sustitución de compresor",6,"Aire acondicionado / climatización",Seat,Ateca,2010,139782,164,2.7333,150.33,338.51,488.84
10034,2017,4,55.00,246,"Sustitución de lunas",90,46,"Sustitución de lunas",8,"Carrocería / pintura",Seat,Ateca,2010,139782,78,1.3,71.5,213.57,285.07
10035,2018,4,55.00,225,"Alineación de ruedas / geometría",45,25,"Alineación de ruedas / geometría",4,"Suspensión / Dirección",Volkswagen,T-Roc,2014,154041,33,0.55,30.25,0,30.25
10036,2018,4,55.00,206,"Comprobación y ajuste de frenos de mano",30,6,"Comprobación y ajuste de frenos de mano",1,Frenos,Volkswagen,T-Roc,2014,154041,48,0.8,44,24.79,68.79
10037,2018,4,55.00,250,"Cambio de llantas",45,50,"Cambio de llantas",9,"Neumáticos / ruedas",Volkswagen,T-Roc,2014,154041,58,0.9667,53.17,793.68,846.85
10038,2019,4,55.00,262,"Revisión 10.000 / 20.000 km",75,62,"Revisión 10.000 / 20.000 km",12,"Mantenimiento general / Otros",Peugeot,2008,2021,114829,91,1.5167,83.42,81.3,164.72
10039,2020,4,55.00,262,"Revisión 10.000 / 20.000 km",75,62,"Revisión 10.000 / 20.000 km",12,"Mantenimiento general / Otros",Seat,Toledo,2023,278638,74,1.2333,67.83,77.16,144.99
10040,2020,4,55.00,215,"Cambio de embrague",300,15,"Cambio de embrague",3,"Transmisión / Embrague",Seat,Toledo,2023,278638,346,5.7667,317.17,319.57,636.74
10041,2021,4,55.00,232,"Reparación de centralitas y módulos",210,32,"Reparación de centralitas y módulos",5,"Sistema eléctrico",Nissan,Note,2021,224400,162,2.7,148.5,382.99,531.49
10042,2021,4,55.00,235,"Sustitución de filtro de habitáculo",20,35,"Sustitución de filtro de habitáculo",6,"Aire acondicionado / climatización",Nissan,Note,2021,224400,19,0.3167,17.42,12.99,30.41
10043,2021,4,55.00,256,"Sustitución de radiador",135,56,"Sustitución de radiador",11,"Sistema de refrigeración",Nissan,Note,2021,224400,148,2.4667,135.67,216.68,352.35
10044,2022,4,55.00,261,"Inspección pre-ITV",45,61,"Inspección pre-ITV",12,"Mantenimiento general / Otros",Renault,Captur,2011,71117,33,0.55,30.25,0,30.25
10045,2022,4,55.00,243,"Sustitución de puertas, paragolpes, capó",270,43,"Sustitución de puertas, paragolpes, capó",8,"Carrocería / pintura",Renault,Captur,2011,71117,281,4.6833,257.58,414.92,672.5
10046,2023,4,55.00,236,"Reparación de evaporador / condensador",240,36,"Reparación de evaporador / condensador",6,"Aire acondicionado / climatización",Nissan,Micra,2011,46778,284,4.7333,260.33,135.75,396.08
10047,2023,4,55.00,207,"Cambio de aceite y filtro",32,7,"Cambio de aceite y filtro",2,Motor,Nissan,Micra,2011,46778,26,0.4333,23.83,52.55,76.38
10048,2024,4,55.00,221,"Sustitución de amortiguadores",120,21,"Sustitución de amortiguadores",4,"Suspensión / Dirección",Hyundai,i30,2015,100669,170,2.8333,155.83,188.74,344.57
10049,2024,4,55.00,208,"Sustitución de correas (distribución, accesorios)",240,8,"Sustitución de correas (distribución, accesorios)",2,Motor,Hyundai,i30,2015,100669,204,3.4,187,240.81,427.81
10050,2025,4,55.00,262,"Revisión 10.000 / 20.000 km",75,62,"Revisión 10.000 / 20.000 km",12,"Mantenimiento general / Otros",Volkswagen,Passat,2008,135646,52,0.8667,47.67,73.78,121.45
10051,2025,4,55.00,256,"Sustitución de radiador",135,56,"Sustitución de radiador",11,"Sistema de refrigeración",Volkswagen,Passat,2008,135646,114,1.9,104.5,197.22,301.72
10052,2025,4,55.00,238,"Cambio de silencioso / tramo de escape",90,38,"Cambio de silencioso / tramo de escape",7,Escape,Volkswagen,Passat,2008,135646,67,1.1167,61.42,102.89,164.31
10053,2026,4,55.00,222,"Sustitución de muelles / ballestas",135,22,"Sustitución de muelles / ballestas",4,"Suspensión / Dirección",Nissan,Micra,2009,134484,168,2.8,154,106.54,260.54
10054,2026,4,55.00,236,"Reparación de evaporador / condensador",240,36,"Reparación de evaporador / condensador",6,"Aire acondicionado / climatización",Nissan,Micra,2009,134484,211,3.5167,193.42,151.23,344.65
10055,2027,4,55.00,210,"Sustitución de filtro de aire",20,10,"Sustitución de filtro de aire",2,Motor,Nissan,Micra,2011,46778,14,0.2333,12.83,20.45,33.28
10056,2027,4,55.00,221,"Sustitución de amortiguadores",120,21,"Sustitución de amortiguadores",4,"Suspensión / Dirección",Nissan,Micra,2011,46778,123,2.05,112.75,194.3,307.05
10057,2028,4,55.00,207,"Cambio de aceite y filtro",32,7,"Cambio de aceite y filtro",2,Motor,Renault,Captur,2022,180767,27,0.45,24.75,52.68,77.43
10058,2028,4,55.00,223,"Cambio de brazos / bieletas",90,23,"Cambio de brazos / bieletas",4,"Suspensión / Dirección",Renault,Captur,2022,180767,92,1.5333,84.33,75.98,160.31
10059,2029,4,55.00,239,"Sustitución de catalizador",120,39,"Sustitución de catalizador",7,Escape,Seat,Ibiza,2012,98876,115,1.9167,105.42,301.45,406.87
10060,2029,4,55.00,225,"Alineación de ruedas / geometría",45,25,"Alineación de ruedas / geometría",4,"Suspensión / Dirección",Seat,Ibiza,2012,98876,48,0.8,44,0,44
10061,2029,4,55.00,233,"Recarga gas A/C",45,33,"Recarga gas A/C",6,"Aire acondicionado / climatización",Seat,Ibiza,2012,98876,52,0.8667,47.67,45.73,93.4
10062,2029,4,55.00,235,"Sustitución de filtro de habitáculo",20,35,"Sustitución de filtro de habitáculo",6,"Aire acondicionado / climatización",Seat,Ibiza,2012,98876,15,0.25,13.75,14.89,28.64
10063,2030,4,55.00,210,"Sustitución de filtro de aire",20,10,"Sustitución de filtro de aire",2,Motor,Peugeot,3008,2009,135087,24,0.4,22,17.4,39.4
10064,2030,4,55.00,214,"Diagnóstico electrónico del motor",60,14,"Diagnóstico electrónico del motor",2,Motor,Peugeot,3008,2009,135087,37,0.6167,33.92,0,33.92
10065,2031,4,55.00,216,"Sustitución de volante bimasa",420,16,"Sustitución de volante bimasa",3,"Transmisión / Embrague",Hyundai,i30,2015,100669,541,9.0167,495.92,765.87,1261.79
10066,2031,4,55.00,242,"Reparacion de abolladuras",210,42,"Reparación de abolladuras",8,"Carrocería / pintura",Hyundai,i30,2015,100669,175,2.9167,160.42,49.92,210.34
10067,2031,4,55.00,243,"Sustitución de puertas, paragolpes, capó",270,43,"Sustitución de puertas, paragolpes, capó",8,"Carrocería / pintura",Hyundai,i30,2015,100669,186,3.1,170.5,400.92,571.42
10068,2032,4,55.00,210,"Sustitución de filtro de aire",20,10,"Sustitución de filtro de aire",2,Motor,Peugeot,5008,2022,88495,18,0.3,16.5,22.82,39.32
10069,2033,4,55.00,256,"Sustitución de radiador",135,56,"Sustitución de radiador",11,"Sistema de refrigeración",Hyundai,i20,2021,180868,202,3.3667,185.17,216.69,401.86
10070,2034,4,55.00,203,"Sustitución de líquido de frenos",35,3,"Sustitución de líquido de frenos",1,Frenos,Fiat,Tipo,2008,75058,33,0.55,30.25,18.96,49.21
10071,2034,4,55.00,227,"Sustitución de batería",22,27,"Sustitución de batería",5,"Sistema eléctrico",Fiat,Tipo,2008,75058,14,0.2333,12.83,119.7,132.53
10072,2034,4,55.00,221,"Sustitución de amortiguadores",120,21,"Sustitución de amortiguadores",4,"Suspensión / Dirección",Fiat,Tipo,2008,75058,92,1.5333,84.33,220.36,304.69
10073,2035,4,55.00,226,"Cambio de barras estabilizadoras",120,26,"Cambio de barras estabilizadoras",4,"Suspensión / Dirección",Seat,Ibiza,2012,98876,129,2.15,118.25,69.11,187.36
10074,2035,4,55.00,257,"Sustitución de bomba de agua",150,57,"Sustitución de bomba de agua",11,"Sistema de refrigeración",Seat,Ibiza,2012,98876,185,3.0833,169.58,93.59,263.17
10075,2035,4,55.00,250,"Cambio de llantas",45,50,"Cambio de llantas",9,"Neumáticos / ruedas",Seat,Ibiza,2012,98876,48,0.8,44,777.12,821.12
10076,2036,4,55.00,221,"Sustitución de amortiguadores",120,21,"Sustitución de amortiguadores",4,"Suspensión / Dirección",Volkswagen,T-Roc,2010,138314,115,1.9167,105.42,172.62,278.04
10077,2037,4,55.00,242,"Reparacion de abolladuras",210,42,"Reparación de abolladuras",8,"Carrocería / pintura",Volkswagen,Golf,2020,65707,126,2.1,115.5,60.45,175.95
10078,2038,4,55.00,251,"Alineación y paralelismo",45,51,"Alineación y paralelismo",9,"Neumáticos / ruedas",Volkswagen,T-Roc,2014,154041,43,0.7167,39.42,0,39.42
10079,2039,4,55.00,258,"Sustitución de termostato",45,58,"Sustitución de termostato",11,"Sistema de refrigeración",Nissan,Juke,2017,224186,53,0.8833,48.58,47.53,96.11
10080,2040,4,55.00,229,"Sustitución de luces",30,29,"Sustitución de luces",5,"Sistema eléctrico",Ford,Focus,2022,173606,24,0.4,22,32.78,54.78
10081,2040,4,55.00,255,"Reparación depósito y conductos",180,55,"Reparación depósito y conductos",10,"Sistema de combustible",Ford,Focus,2022,173606,279,4.65,255.75,87.25,343
10082,2040,4,55.00,248,"Montaje / equilibrado",37,48,"Montaje / equilibrado",9,"Neumáticos / ruedas",Ford,Focus,2022,173606,40,0.6667,36.67,9.39,46.06
10083,2041,4,55.00,262,"Revisión 10.000 / 20.000 km",75,62,"Revisión 10.000 / 20.000 km",12,"Mantenimiento general / Otros",Nissan,Note,2021,224400,68,1.1333,62.33,76.38,138.71
10084,2042,4,55.00,207,"Cambio de aceite y filtro",32,7,"Cambio de aceite y filtro",2,Motor,Opel,Astra,2022,16701,31,0.5167,28.42,58.36,86.78
10085,2042,4,55.00,251,"Alineación y paralelismo",45,51,"Alineación y paralelismo",9,"Neumáticos / ruedas",Opel,Astra,2022,16701,46,0.7667,42.17,0,42.17
10086,2042,4,55.00,247,"Sustitución de neumáticos",45,47,"Sustitución de neumáticos",9,"Neumáticos / ruedas",Opel,Astra,2022,16701,52,0.8667,47.67,522.04,569.71
10087,2043,4,55.00,263,"Cambio de limpiaparabrisas",15,63,"Cambio de limpiaparabrisas",12,"Mantenimiento general / Otros",Renault,Kadjar,2023,267370,18,0.3,16.5,23.46,39.96
10088,2043,4,55.00,208,"Sustitución de correas (distribución, accesorios)",240,8,"Sustitución de correas (distribución, accesorios)",2,Motor,Renault,Kadjar,2023,267370,239,3.9833,219.08,267.19,486.27
10089,2044,4,55.00,210,"Sustitución de filtro de aire",20,10,"Sustitución de filtro de aire",2,Motor,Nissan,Micra,2009,134484,27,0.45,24.75,20.81,45.56
10090,2045,4,55.00,210,"Sustitución de filtro de aire",20,10,"Sustitución de filtro de aire",2,Motor,Peugeot,2008,2021,114829,12,0.2,11,21.6,32.6
10091,2045,4,55.00,262,"Revisión 10.000 / 20.000 km",75,62,"Revisión 10.000 / 20.000 km",12,"Mantenimiento general / Otros",Peugeot,2008,2021,114829,78,1.3,71.5,74.5,146
10092,2046,4,55.00,221,"Sustitución de amortiguadores",120,21,"Sustitución de amortiguadores",4,"Suspensión / Dirección",Renault,Captur,2022,180767,162,2.7,148.5,215.64,364.14
10093,2047,4,55.00,214,"Diagnóstico electrónico del motor",60,14,"Diagnóstico electrónico del motor",2,Motor,Nissan,Micra,2011,46778,68,1.1333,62.33,0,62.33
10094,2048,4,55.00,216,"Sustitución de volante bimasa",420,16,"Sustitución de volante bimasa",3,"Transmisión / Embrague",Fiat,Tipo,2008,75058,452,7.5333,414.33,694.57,1108.9
10095,2048,4,55.00,202,"Cambio de discos",75,2,"Cambio de discos",1,Frenos,Fiat,Tipo,2008,75058,76,1.2667,69.67,187.72,257.39
10096,2049,4,55.00,224,"Sustitución de rótulas",90,24,"Sustitución de rótulas",4,"Suspensión / Dirección",Renault,Kadjar,2023,267370,84,1.4,77,65.31,142.31
10097,2050,4,55.00,203,"Sustitución de líquido de frenos",35,3,"Sustitución de líquido de frenos",1,Frenos,Seat,Ibiza,2012,98876,41,0.6833,37.58,17.48,55.06
10098,2050,4,55.00,209,"Cambio de bujías",45,9,"Cambio de bujías",2,Motor,Seat,Ibiza,2012,98876,53,0.8833,48.58,37.6,86.18
10099,2051,4,55.00,255,"Reparación depósito y conductos",180,55,"Reparación depósito y conductos",10,"Sistema de combustible",Peugeot,5008,2022,88495,174,2.9,159.5,90.12,249.62
10100,2051,4,55.00,248,"Montaje / equilibrado",37,48,"Montaje / equilibrado",9,"Neumáticos / ruedas",Peugeot,5008,2022,88495,36,0.6,33,9.64,42.64
10101,2052,4,55.00,211,"Sustitución de filtro de combustible",32,11,"Sustitución de filtro de combustible",2,Motor,Hyundai,i20,2021,180868,43,0.7167,39.42,52.88,92.3
10102,2052,4,55.00,228,"Reparación alternador / motor de arranque",135,28,"Reparación alternador / motor de arranque",5,"Sistema eléctrico",Hyundai,i20,2021,180868,112,1.8667,102.67,263.19,365.86
10103,2053,4,55.00,213,"Limpieza de inyectores",90,13,"Limpieza de inyectores",2,Motor,Volkswagen,T-Roc,2014,154041,145,2.4167,132.92,61.32,194.24
10104,2053,4,55.00,262,"Revisión 10.000 / 20.000 km",75,62,"Revisión 10.000 / 20.000 km",12,"Mantenimiento general / Otros",Volkswagen,T-Roc,2014,154041,74,1.2333,67.83,81.23,149.06
10105,2054,4,55.00,256,"Sustitución de radiador",135,56,"Sustitución de radiador",11,"Sistema de refrigeración",Hyundai,i20,2021,180868,110,1.8333,100.83,210.19,311.02
10106,2055,4,55.00,225,"Alineación de ruedas / geometría",45,25,"Alineación de ruedas / geometría",4,"Suspensión / Dirección",Peugeot,208,2015,56291,51,0.85,46.75,0,46.75
10107,2056,4,55.00,213,"Limpieza de inyectores",90,13,"Limpieza de inyectores",2,Motor,Seat,Ateca,2010,139782,77,1.2833,70.58,54.35,124.93
10108,2056,4,55.00,249,"Reparación de pinchazos",30,49,"Reparación de pinchazos",9,"Neumáticos / ruedas",Seat,Ateca,2010,139782,34,0.5667,31.17,10.31,41.48
10109,2057,4,55.00,225,"Alineación de ruedas / geometría",45,25,"Alineación de ruedas / geometría",4,"Suspensión / Dirección",Ford,Fiesta,2008,189879,61,1.0167,55.92,0,55.92
10110,2057,4,55.00,211,"Sustitución de filtro de combustible",32,11,"Sustitución de filtro de combustible",2,Motor,Ford,Fiesta,2008,189879,29,0.4833,26.58,55.62,82.2
10111,2057,4,55.00,207,"Cambio de aceite y filtro",32,7,"Cambio de aceite y filtro",2,Motor,Ford,Fiesta,2008,189879,25,0.4167,22.92,60.51,83.43
10112,2058,4,55.00,225,"Alineación de ruedas / geometría",45,25,"Alineación de ruedas / geometría",4,"Suspensión / Dirección",Renault,Kadjar,2023,267370,55,0.9167,50.42,0,50.42
10113,2058,4,55.00,210,"Sustitución de filtro de aire",20,10,"Sustitución de filtro de aire",2,Motor,Renault,Kadjar,2023,267370,19,0.3167,17.42,22.48,39.9
10114,2059,4,55.00,230,"Diagnóstico electrónico de averías",60,30,"Diagnóstico electrónico de averías",5,"Sistema eléctrico",Seat,Toledo,2018,271170,37,0.6167,33.92,0,33.92
10115,2059,4,55.00,221,"Sustitución de amortiguadores",120,21,"Sustitución de amortiguadores",4,"Suspensión / Dirección",Seat,Toledo,2018,271170,143,2.3833,131.08,218.52,349.6
10116,2060,4,55.00,244,"Pintura parcial / completa",480,44,"Pintura parcial / completa",8,"Carrocería / pintura",Seat,Toledo,2023,278638,495,8.25,453.75,163.31,617.06
10117,2060,4,55.00,216,"Sustitución de volante bimasa",420,16,"Sustitución de volante bimasa",3,"Transmisión / Embrague",Seat,Toledo,2023,278638,362,6.0333,331.83,818.1,1149.93
10118,2061,4,55.00,220,"Reparación de palieres y homocinéticas",120,20,"Reparación de palieres y homocinéticas",3,"Transmisión / Embrague",Hyundai,i30,2015,100669,109,1.8167,99.92,142.61,242.53
10119,2061,4,55.00,210,"Sustitución de filtro de aire",20,10,"Sustitución de filtro de aire",2,Motor,Hyundai,i30,2015,100669,18,0.3,16.5,22.62,39.12
10120,2062,4,55.00,207,"Cambio de aceite y filtro",32,7,"Cambio de aceite y filtro",2,Motor,Seat,Toledo,2023,278638,23,0.3833,21.08,51.01,72.09
10121,2063,4,55.00,251,"Alineación y paralelismo",45,51,"Alineación y paralelismo",9,"Neumáticos / ruedas",Renault,Captur,2011,71117,57,0.95,52.25,0,52.25
10122,2063,4,55.00,256,"Sustitución de radiador",135,56,"Sustitución de radiador",11,"Sistema de refrigeración",Renault,Captur,2011,71117,164,2.7333,150.33,217.15,367.48
10123,2064,4,55.00,226,"Cambio de barras estabilizadoras",120,26,"Cambio de barras estabilizadoras",4,"Suspensión / Dirección",Seat,Ibiza,2012,98876,109,1.8167,99.92,75.8,175.72
10124,2064,4,55.00,257,"Sustitución de bomba de agua",150,57,"Sustitución de bomba de agua",11,"Sistema de refrigeración",Seat,Ibiza,2012,98876,153,2.55,140.25,87.62,227.87
10125,2064,4,55.00,215,"Cambio de embrague",300,15,"Cambio de embrague",3,"Transmisión / Embrague",Seat,Ibiza,2012,98876,292,4.8667,267.67,311.04,578.71
10126,2065,4,55.00,250,"Cambio de llantas",45,50,"Cambio de llantas",9,"Neumáticos / ruedas",Peugeot,2008,2016,18407,45,0.75,41.25,728,769.25
10127,2065,4,55.00,261,"Inspección pre-ITV",45,61,"Inspección pre-ITV",12,"Mantenimiento general / Otros",Peugeot,2008,2016,18407,59,0.9833,54.08,0,54.08
10128,2066,4,55.00,258,"Sustitución de termostato",45,58,"Sustitución de termostato",11,"Sistema de refrigeración",Seat,Toledo,2018,271170,50,0.8333,45.83,38.63,84.46
10129,2067,4,55.00,256,"Sustitución de radiador",135,56,"Sustitución de radiador",11,"Sistema de refrigeración",Renault,Megane,2023,101574,125,2.0833,114.58,213.22,327.8
10130,2068,4,55.00,205,"Cambio de zapatas / tambores",75,5,"Cambio de zapatas / tambores",1,Frenos,Ford,Fiesta,2008,189879,95,1.5833,87.08,49.15,136.23
